"name","institution","delete"
"Grace Pretty","{}",""
"erherherher herherh","herhrehh",""
"P. Matzen","Hvidovre University Hospital and Sundby Hospital, Copenhagen",""
"Single Author","N/A",""
"sagasg asggag","asgasgasgagas",""
"Kathryn E. Dobie","N/A",""
"M Hennessy","american university",""
"Brenda Seals","National Center for Infectious Disease, Centers for Disease Control and Prevention",""
"John Cochran","University of South Florida",""
"asgasgasgas gasgasgasg","gsagas",""
"Kathryn E. Dobie","N/A",""
"fasfasfasfas fsafassfasfasfaf","fasfa",""
"gsegse gse","g",""
"André Rougemont",NA,""
"Laura Von Tosh","{}",""
"Kathryn Dobie","{}",""
"Carlsson Sven G.","Goteborg University",""
"Richard A.Zeller","Bowling Green State University",""
"Ann Del Vecchio","Evaluation Assistance Center-West",""
"brenda sales","National Center for Infectious Disease, Centers for Disease Control and Prevention",""
"gasgasgasg gasgasgas","asgas",""
"Kathryn E. Dobie","N/A",""
"Single Author","{}",""
"Harris L. Friedman","Georgia State University Professor of Psychology",""
"Single Author","{}",""
"Harris L. Freidman","Fort Myers, Florida",""
"Single Single","N/A",""
"{} {}","{}",""
"Single Author","N/A",""
"Andrea Olson","University of Minnesota",""
"Richard D. Heimovics","Bloch School of Business and Public AdministrationUniversity of Missouri",""
"Richard Heimovics","{}",""
"gsdgsd gsdgsd","gsdgsdg",""
"{} {}","{}",""
"Paul Yarnold","{}",""
"Paul R. Yarnold",NA,""
